(1,0)	(1,0)
(1,0)	(1,0)
(1,0)	(1,0)
(1,0)	(1,0)
(1,0)	(1,0)
(1,0)	(0.999999,0)
(1,0)	(0.999999,0)
(1,0)	(0.999997,0)
(1,0)	(0.999996,0)
(1,0)	(0.999993,0)
(1,0)	(0.999989,0)
(1,0)	(0.999984,0)
(1,0)	(0.999978,0)
(1,0)	(0.999969,0)
(1,0)	(0.999959,0)
(1,0)	(0.999946,0)
(1,0)	(0.99993,0)
(1,0)	(0.99991,0)
(1,0)	(0.999887,0)
(1,0)	(0.99986,0)
(1,0)	(0.999828,0)
(1,0)	(0.999791,0)
(1,0)	(0.999748,0)
(1,0)	(0.999699,0)
(1,0)	(0.999643,0)
(1,0)	(0.99958,0)
(1,0)	(0.999509,0)
(1,0)	(0.999429,0)
(1,0)	(0.999339,0)
(1,0)	(0.99924,0)
(1,0)	(0.999129,0)
(1,0)	(0.999007,0)
(1,0)	(0.998873,0)
(1,0)	(0.998726,0)
(1,0)	(0.998564,0)
(1,0)	(0.998388,0)
(1,0)	(0.998196,0)
(1,0)	(0.997987,0)
(1,0)	(0.997761,0)
(1,0)	(0.997516,0)
(1,0)	(0.997251,0)
(1,0)	(0.996967,0)
(1,0)	(0.99666,0)
(1,0)	(0.996331,0)
(1,0)	(0.995979,0)
(1,0)	(0.995601,0)
(1,0)	(0.995198,0)
(1,0)	(0.994768,0)
(1,0)	(0.99431,0)
(1,0)	(0.993822,0)
(1,0)	(0.993304,0)
(1,0)	(0.992754,0)
(1,0)	(0.992171,0)
(1,0)	(0.991554,0)
(1,0)	(0.990902,0)
(1,0)	(0.990212,0)
(1,0)	(0.989485,0)
(1,0)	(0.988718,0)
(1,0)	(0.98791,0)
(1,0)	(0.987061,0)
(1,0)	(0.986167,0)
(1,0)	(0.985229,0)
(1,0)	(0.984245,0)
(1,0)	(0.983213,0)
(1,0)	(0.982131,0)
(1,0)	(0.980999,0)
(1,0)	(0.979815,0)
(1,0)	(0.978578,0)
(1,0)	(0.977285,0)
(1,0)	(0.975937,0)
(1,0)	(0.97453,0)
(1,0)	(0.973064,0)
(1,0)	(0.971537,0)
(1,0)	(0.969948,0)
(1,0)	(0.968294,0)
(1,0)	(0.966576,0)
(1,0)	(0.964791,0)
(1,0)	(0.962937,0)
(1,0)	(0.961013,0)
(1,0)	(0.959019,0)
(1,0)	(0.956951,0)
(1,0)	(0.95481,0)
(1,0)	(0.952592,0)
(1,0)	(0.950298,0)
(1,0)	(0.947925,0)
(1,0)	(0.945472,0)
(1,0)	(0.942938,0)
(1,0)	(0.940321,0)
(1,0)	(0.93762,0)
(1,0)	(0.934834,0)
(1,0)	(0.931961,0)
(1,0)	(0.929,0)
(1,0)	(0.92595,0)
(1,0)	(0.922809,0)
(1,0)	(0.919577,0)
(1,0)	(0.916252,0)
(1,0)	(0.912833,0)
(1,0)	(0.909319,0)
(1,0)	(0.90571,0)
(1,0)	(0.902003,0)
(1,0)	(0.898198,0)
