(1,0)	(1,0)
(1,2.91016e-17)	(1,-5.06685e-17)
(1,-2.34453e-16)	(1,-2.49917e-16)
(1,1.50687e-17)	(0.999999,7.11216e-16)
(1,-5.23485e-16)	(0.999997,-1.58189e-15)
(1,1.40257e-16)	(0.999993,-1.59306e-15)
(1,-7.10387e-16)	(0.999986,-6.39171e-16)
(1,4.78809e-16)	(0.999974,-4.16077e-16)
(1,1.10715e-15)	(0.999956,2.28136e-15)
(1,1.46367e-16)	(0.99993,1.11208e-15)
(1,-2.06159e-15)	(0.999893,-1.93835e-15)
(1,1.1079e-15)	(0.999843,1.72831e-15)
(1,8.3809e-16)	(0.999778,3.23474e-15)
(1,-2.03976e-15)	(0.999695,-1.53275e-15)
(1,-2.5928e-15)	(0.999589,-5.71144e-15)
(1,1.71987e-15)	(0.999459,6.2437e-15)
(1,-2.16678e-15)	(0.999299,-4.90525e-15)
(1,-2.46167e-15)	(0.999107,-6.06921e-16)
(1,-5.10776e-16)	(0.998878,-4.22326e-16)
(1,-4.48603e-15)	(0.998608,-8.58756e-15)
(1,-5.80587e-16)	(0.998291,-5.84409e-15)
(1,4.2432e-15)	(0.997923,7.75433e-15)
(1,-8.1623e-16)	(0.997499,-8.92274e-16)
(1,-3.32372e-15)	(0.997014,-7.16022e-15)
(1,2.94026e-19)	(0.996461,-2.18454e-15)
(1,9.26531e-16)	(0.995836,1.14291e-15)
(1,-1.97948e-16)	(0.995131,2.08198e-15)
(1,2.65659e-15)	(0.99434,6.25877e-15)
(1,1.1193e-15)	(0.993458,-3.42279e-15)
(1,-2.58198e-15)	(0.992477,-3.10731e-15)
(1,-2.95745e-15)	(0.991391,-4.42297e-15)
(1,-6.90545e-16)	(0.990192,-4.08221e-15)
(1,-3.12328e-15)	(0.988873,-5.11794e-15)
(1,-3.67668e-15)	(0.987428,-9.96745e-15)
(1,-2.59598e-15)	(0.985847,-3.71989e-15)
(1,-2.81953e-15)	(0.984124,-3.36436e-15)
(1,-1.19453e-15)	(0.982251,-2.61367e-15)
(1,-7.40101e-16)	(0.98022,-2.58715e-15)
(1,-3.74634e-15)	(0.978023,-1.05621e-14)
(1,-1.0767e-15)	(0.975652,-7.37898e-15)
(1,-4.29788e-15)	(0.973098,-1.00462e-14)
(1,-3.32055e-15)	(0.970354,-7.74301e-15)
(1,2.01953e-15)	(0.967411,8.57718e-16)
(1,-2.08633e-15)	(0.964262,-5.02564e-15)
(1,-2.12994e-15)	(0.960898,-5.05022e-15)
(1,3.77819e-15)	(0.957311,8.4227e-15)
(1,-2.00626e-15)	(0.953492,-3.42132e-15)
(1,1.80606e-15)	(0.949435,3.74912e-15)
(1,4.09595e-15)	(0.945132,7.86846e-15)
(1,2.40861e-15)	(0.940574,4.40116e-15)
(1,-5.13791e-17)	(0.935754,-8.5103e-16)
(1,-3.38581e-15)	(0.930666,-6.36114e-15)
(1,4.98962e-16)	(0.925302,2.305e-15)
(1,-5.33228e-16)	(0.919656,-3.20121e-15)
(1,9.52062e-16)	(0.913721,-1.88449e-15)
(1,4.56526e-15)	(0.907492,7.69012e-15)
(1,-2.81405e-15)	(0.900963,-5.63001e-15)
(1,-8.32492e-16)	(0.894129,-3.40351e-15)
(1,5.27664e-15)	(0.886985,1.15616e-14)
(1,1.01753e-16)	(0.879528,-3.5495e-15)
(1,-4.11981e-15)	(0.871753,-6.21765e-15)
(1,3.86924e-16)	(0.863658,1.77879e-16)
(1,1.0815e-15)	(0.85524,1.30444e-15)
(1,1.0302e-15)	(0.846498,-7.52889e-16)
(1,2.87467e-15)	(0.83743,2.57287e-15)
(1,-1.59417e-15)	(0.828037,-5.79754e-15)
(1,-1.69375e-15)	(0.818318,-3.01372e-15)
(1,-5.91248e-15)	(0.808275,-6.7487e-15)
(1,-3.70765e-15)	(0.797911,-5.33486e-15)
(1,-2.56563e-15)	(0.787227,-5.65164e-15)
(1,2.77396e-16)	(0.776227,2.51479e-15)
(1,6.08958e-16)	(0.764917,3.48889e-15)
(1,3.9014e-15)	(0.753301,8.30743e-15)
(1,-2.19295e-15)	(0.741386,-2.50801e-15)
(1,-1.80009e-15)	(0.72918,3.53819e-16)
(1,3.29587e-15)	(0.71669,2.18059e-15)
(1,2.40708e-15)	(0.703925,5.92644e-15)
(1,2.43357e-15)	(0.690896,1.67903e-15)
(1,-3.90423e-15)	(0.677615,-3.51765e-15)
(1,5.60769e-16)	(0.664092,-9.07109e-17)
(1,-1.28673e-15)	(0.65034,1.8616e-15)
(1,-4.38714e-15)	(0.636374,-3.45669e-15)
