0	1	1	1	1
100	1	1	1	1
200	0.999994	0.999994	0.999994	1
300	0.999968	0.999968	0.999968	1
400	0.999901	0.999901	0.999898	1
500	0.999758	0.999758	0.999753	1
600	0.9995	0.9995	0.999489	1
700	0.999078	0.999078	0.999058	1
800	0.998436	0.998436	0.998402	1
900	0.99751	0.99751	0.997455	1
1000	0.996231	0.99623	0.996147	1
1100	0.994524	0.994523	0.994402	1
1200	0.99231	0.992309	0.992138	1
1300	0.989506	0.989505	0.98927	1
1400	0.986028	0.986027	0.985713	1
1500	0.981791	0.98179	0.981378	1
1600	0.976709	0.976707	0.976178	1
1700	0.970699	0.970696	0.970027	1
1800	0.96368	0.963677	0.962844	1
1900	0.955576	0.955573	0.954549	1
2000	0.946318	0.946314	0.945073	1
2100	0.935844	0.935838	0.93435	1
2200	0.924098	0.924092	0.922325	1
2300	0.911037	0.91103	0.908955	1
2400	0.896628	0.89662	0.894206	1
2500	0.88085	0.88084	0.878056	0.999999
2600	0.863694	0.863684	0.8605	0.999999
2700	0.845167	0.845155	0.841545	0.999999
2800	0.825288	0.825275	0.821211	0.999999
2900	0.804092	0.804077	0.799537	0.999999
3000	0.781625	0.78161	0.776573	0.999999
3100	0.757952	0.757936	0.752388	0.999999
3200	0.733149	0.733131	0.727063	0.999999
3300	0.707305	0.707285	0.700692	0.999998
3400	0.680521	0.680501	0.673383	0.999998
3500	0.652912	0.652891	0.645255	0.999998
3600	0.624599	0.624577	0.616439	0.999998
3700	0.595714	0.595691	0.587072	0.999998
3800	0.566395	0.566371	0.557298	0.999997
3900	0.536786	0.536761	0.527269	0.999997
4000	0.507032	0.507007	0.497138	0.999997
4100	0.477282	0.477257	0.467059	0.999996
4200	0.447685	0.44766	0.437185	0.999996
4300	0.418388	0.418363	0.407669	0.999996
4400	0.389532	0.389507	0.378657	0.999995
4500	0.361255	0.361232	0.35029	0.999995
4600	0.33369	0.333667	0.319658	0.999994
4700	0.306959	0.306936	0.282534	0.999994
4800	0.281175	0.281153	0.246931	0.999993
4900	0.256442	0.256422	0.213278	0.999993
5000	0.232854	0.232835	0.181959	0.999992
5100	0.210489	0.210471	0.153287	0.999992
5200	0.189415	0.189399	0.127489	0.999991
5300	0.169688	0.169673	0.104686	0.99999
5400	0.151347	0.151334	0.0848947	0.999989
5500	0.134421	0.134409	0.0680322	0.999989
5600	0.118923	0.118912	0.053927	0.999988
5700	0.104853	0.104843	0.0423412	0.999987
5800	0.092197	0.092189	0.0329924	0.999986
5900	0.0809296	0.0809229	0.0255774	0.999985
6000	0.0710116	0.071006	0.0197922	0.999984
6100	0.062392	0.0623874	0.0153488	0.999983
6200	0.0550087	0.055005	0.0119869	0.999982
6300	0.0487894	0.0487866	0.00948025	0.999981
6400	0.0436528	0.0436507	0.00763921	0.99998
6500	0.0395091	0.0395077	0.00631016	0.999978
6600	0.0362622	0.0362614	0.00537224	0.999977
6700	0.0338105	0.0338101	0.00473298	0.999976
6800	0.0320489	0.0320485	0.0043233	0.999974
6900	0.0308698	0.0308695	0.00409243	0.999973
7000	0.0301656	0.0301653	0.00400315	0.999971
7100	0.0298298	0.0298294	0.00402768	0.99997
7200	0.0297587	0.0297583	0.00414426	0.999968
7300	0.0298535	0.0298531	0.00433447	0.999966
7400	0.0300215	0.0300211	0.00458119	0.999964
7500	0.0301775	0.0301771	0.0048673	0.999962
7600	0.0302455	0.030245	0.00517486	0.99996
7700	0.030159	0.0301586	0.0054848	0.999958
7800	0.0298628	0.0298624	0.00577702	0.999956
7900	0.0293126	0.0293122	0.00603077	0.999954
8000	0.0284761	0.0284757	0.00622519	0.999952
8100	0.0273325	0.0273321	0.00634011	0.999949
8200	0.0258724	0.0258721	0.00635678	0.999947
8300	0.0240975	0.0240972	0.00625872	0.999944
8400	0.0220195	0.0220192	0.00603243	0.999942
8500	0.0196591	0.0196588	0.00566806	0.999939
8600	0.0170452	0.017045	0.00515994	0.999936
8700	0.0142133	0.0142131	0.00316648	0.999933
8800	0.011204	0.0112038	0.00107567	0.99993
8900	0.0080618	0.00806169	0.000298214	0.999927
9000	0.00483349	0.00483342	5.04218e-05	0.999923
9100	0.00156673	0.00156671	1.40436e-06	0.99992
9200	0.00169128	0.0015973	1.41157e-06	0.999917
9300	0.00489502	0.00479101	3.0875e-05	0.999913
9400	0.00800177	0.00789035	0.000121215	0.999909
9500	0.0109725	0.0108543	0.000285764	0.999905
9600	0.0137727	0.013648	0.000525832	0.999902
9700	0.0163727	0.0162421	0.00083551	0.999897
9800	0.0187483	0.0186121	0.00120451	0.999893
9900	0.0208808	0.0207396	0.00161999	0.999889
10000	0.0227569	0.0226112	0.00206783	0.999885
