0	1	1	1	1	1
8000	0.998072	0.997999	0.996504	0.994681	0.999952
16000	0.99263	0.99364	0.971421	0.973666	0.999291
24000	0.983135	0.983179	0.946375	0.949146	0.99685
32000	0.989659	0.979727	0.975106	0.976535	0.991721
40000	0.992526	0.975803	0.969033	0.970065	0.984064
48000	0.99438	0.967258	0.967282	0.967805	0.975283
56000	0.998389	0.959261	0.948698	0.948428	0.96739
64000	0.999359	0.955642	0.949825	0.950529	0.961929
72000	0.998549	0.949126	0.948035	0.945211	0.959075
80000	0.992328	0.949536	0.934434	0.930686	0.957416
88000	0.991112	0.938761	0.925338	0.92218	0.954557
96000	0.989595	0.937359	0.913492	0.907227	0.948206
104000	0.98923	0.92812	0.887153	0.88134	0.937117
112000	0.990805	0.913884	0.881028	0.874884	0.921361
120000	0.995319	0.882121	0.876169	0.866864	0.901833
128000	0.99363	0.856719	0.852191	0.844573	0.879407
136000	0.999254	0.847095	0.84875	0.840264	0.854331
144000	0.987156	0.814224	0.816479	0.806429	0.826255
152000	0.983112	0.781854	0.760196	0.751404	0.794812
160000	0.986511	0.747771	0.752122	0.742773	0.760314
168000	0.998227	0.716595	0.722871	0.712806	0.724031
176000	0.99177	0.679734	0.68275	0.675516	0.687852
184000	0.996482	0.644554	0.650951	0.643516	0.653551
192000	0.989296	0.613041	0.607078	0.599931	0.622125
200000	0.984141	0.586193	0.588653	0.582796	0.59356
208000	0.98723	0.559433	0.558591	0.552899	0.567109
216000	0.986756	0.536477	0.520982	0.515682	0.541856
224000	0.983065	0.509594	0.499838	0.49425	0.517263
232000	0.986601	0.488266	0.486365	0.480547	0.493388
240000	0.998435	0.44991	0.454076	0.448272	0.470733
248000	0.999941	0.441256	0.445778	0.440158	0.449865
256000	0.986198	0.426117	0.423333	0.417694	0.431097
264000	0.992613	0.4117	0.410488	0.405183	0.414378
272000	0.999793	0.395097	0.399189	0.394017	0.399438
280000	0.979807	0.380038	0.370203	0.366158	0.386043
288000	0.999952	0.358418	0.36183	0.357853	0.374221
296000	0.980924	0.358505	0.360231	0.35668	0.364284
304000	0.99994	0.352951	0.356279	0.353196	0.356665
312000	0.980272	0.346519	0.341887	0.338734	0.351667
320000	0.999948	0.344006	0.347213	0.343438	0.349261
328000	0.986428	0.344914	0.336009	0.332163	0.349037
336000	0.996843	0.346633	0.345808	0.341884	0.350316
344000	0.99903	0.348029	0.350443	0.346724	0.352355
352000	0.981457	0.34983	0.346926	0.34435	0.354555
360000	0.999496	0.348743	0.350885	0.349188	0.356566
368000	0.997794	0.347349	0.349855	0.348209	0.358228
376000	0.981869	0.353352	0.352247	0.350338	0.359427
384000	0.9985	0.356809	0.35921	0.357134	0.359974
392000	0.998516	0.356452	0.356333	0.354278	0.359591
400000	0.986219	0.353842	0.341874	0.340149	0.358009
408000	0.989441	0.351228	0.340756	0.339218	0.355115
416000	0.998587	0.347689	0.348127	0.346419	0.35103
424000	0.99753	0.34419	0.345471	0.343116	0.34607
432000	0.985344	0.337268	0.331272	0.329453	0.340582
440000	0.987677	0.331531	0.328916	0.327045	0.334786
448000	0.998197	0.324061	0.326287	0.324389	0.328693
456000	0.997204	0.316751	0.317457	0.315677	0.322131
464000	0.993365	0.3111	0.311554	0.309727	0.314857
472000	0.982403	0.302833	0.300761	0.298868	0.306663
480000	0.990111	0.29409	0.294327	0.292657	0.297464
488000	0.997786	0.282839	0.284525	0.282877	0.2873
496000	0.996705	0.269537	0.270855	0.269255	0.276294
504000	0.995833	0.261308	0.260962	0.259351	0.264605
512000	0.986581	0.24916	0.24155	0.240335	0.252411
520000	0.982778	0.236445	0.226429	0.225361	0.239915
528000	0.992326	0.225916	0.220366	0.219508	0.227355
536000	0.997567	0.212282	0.211844	0.210947	0.21498
544000	0.99657	0.200426	0.200465	0.199665	0.203011
552000	0.99668	0.18911	0.189146	0.188549	0.191603
560000	0.992163	0.178899	0.178686	0.178327	0.180822
568000	0.983726	0.168664	0.166489	0.166089	0.170663
576000	0.983429	0.159462	0.157499	0.157115	0.16108
584000	0.991651	0.150505	0.150949	0.150712	0.152012
592000	0.997237	0.13972	0.14035	0.140082	0.143386
600000	0.997123	0.132882	0.133463	0.133247	0.135117
608000	0.996763	0.12533	0.125911	0.125696	0.127107
616000	0.996625	0.117599	0.118157	0.117915	0.119262
624000	0.992373	0.110911	0.111232	0.111055	0.11152
632000	0.98518	0.102507	0.102042	0.10188	0.10387
640000	0.98203	0.0947939	0.093976	0.093831	0.0963605
648000	0.986177	0.0881431	0.0873903	0.0872724	0.0890805
656000	0.993251	0.080181	0.0804733	0.0803724	0.0821189
664000	0.997394	0.073206	0.0734941	0.0733862	0.075532
672000	0.997705	0.0671279	0.0672881	0.0671814	0.0693296
680000	0.997162	0.0609786	0.0612246	0.0611085	0.0634874
688000	0.997396	0.0566013	0.0567414	0.0566366	0.0579749
696000	0.996733	0.0520072	0.0516988	0.0515992	0.0527798
704000	0.993077	0.0472113	0.0467898	0.0466914	0.047912
712000	0.98723	0.0431001	0.0418515	0.0417666	0.0433884
720000	0.982662	0.0388027	0.037179	0.0371175	0.0392127
728000	0.982381	0.0350037	0.0334081	0.0333479	0.0353649
736000	0.986422	0.0315602	0.0303417	0.0302776	0.0318086
744000	0.992124	0.0284043	0.0276383	0.0275816	0.0285074
752000	0.996474	0.0253935	0.0250186	0.0249635	0.0254425
760000	0.99822	0.0222695	0.0222105	0.0221622	0.0226177
768000	0.99816	0.01987	0.0198536	0.0198212	0.0200504
776000	0.997821	0.0175692	0.0175662	0.0175375	0.0177566
