4.54767 4.01265 4.19099 
4.19099 4.36933 3.83431 
3.83431 4.72601 4.19099 
3.65597 4.01265 4.36933 
3.65597 4.72601 4.36933 
3.65597 3.83431 4.19099 
4.63684 4.99352 3.92348 
4.72601 3.65597 4.72601 
3.83431 3.47763 4.01265 
3.74514 4.28016 5.17186 
4.01265 4.90435 3.47763 
4.54767 5.26103 4.72601 
4.72601 4.54767 5.26103 
4.28016 3.21012 4.63684 
5.08269 5.08269 4.36933 
4.54767 3.29929 4.90435 
4.90435 3.29929 3.83431 
4.28016 3.5668 5.3502 
4.28016 3.21012 3.5668 
3.92348 4.4585 3.03178 
4.72601 4.72601 5.43937 
4.63684 5.3502 4.99352 
5.17186 5.3502 4.4585 
4.10182 5.3502 3.38846 
4.90435 5.08269 5.26103 
3.29929 4.01265 3.29929 
2.94261 3.83431 4.54767 
3.5668 5.52854 4.10182 
4.81518 5.3502 3.38846 
2.94261 3.65597 4.01265 
3.47763 3.29929 3.47763 
4.63684 3.92348 2.85344 
5.17186 4.63684 3.03178 
3.92348 3.03178 5.17186 
4.19099 5.79605 3.83431 
4.4585 2.6751 4.28016 
5.61771 4.72601 3.47763 
3.65597 5.26103 3.12095 
4.63684 5.88522 4.4585 
3.12095 3.12095 4.01265 
5.17186 5.52854 3.5668 
4.90435 5.79605 3.83431 
3.83431 3.65597 2.76427 
4.72601 3.29929 2.94261 
4.81518 5.17186 5.70688 
4.36933 5.43937 2.94261 
5.79605 4.19099 5.26103 
5.61771 5.43937 3.83431 
5.61771 3.29929 3.47763 
5.3502 3.21012 3.21012 
4.81518 6.06356 4.4585 
3.21012 3.38846 3.03178 
4.19099 4.01265 2.40759 
5.43937 3.29929 5.43937 
2.49676 4.99352 4.28016 
3.47763 5.97439 4.72601 
5.26103 5.26103 2.94261 
5.08269 5.43937 2.94261 
3.92348 6.06356 4.99352 
4.99352 3.92348 2.49676 
2.76427 3.83431 5.43937 
6.15273 3.65597 4.01265 
4.81518 2.6751 5.3502 
3.21012 3.74514 5.88522 
3.12095 2.76427 3.65597 
4.28016 2.6751 5.52854 
5.61771 3.47763 2.94261 
3.92348 3.74514 6.2419 
5.3502 5.3502 2.85344 
4.72601 6.15273 5.08269 
5.52854 5.70688 3.38846 
2.31842 4.4585 4.99352 
6.06356 4.63684 3.21012 
5.79605 2.94261 3.65597 
2.58593 5.08269 3.29929 
2.6751 3.38846 5.3502 
2.40759 4.90435 5.08269 
3.65597 3.47763 2.40759 
3.29929 2.40759 4.54767 
2.85344 5.70688 3.5668 
3.83431 4.72601 6.33107 
4.81518 3.5668 2.31842 
4.99352 3.03178 5.88522 
4.01265 5.79605 5.79605 
3.83431 2.76427 5.79605 
2.76427 4.72601 2.76427 
4.72601 2.94261 2.58593 
4.54767 2.40759 5.43937 
4.4585 6.2419 5.3502 
5.43937 4.72601 6.15273 
2.05091 4.54767 4.01265 
2.6751 5.88522 4.28016 
3.5668 6.42024 4.63684 
4.54767 5.26103 2.22925 
6.2419 3.21012 4.81518 
3.21012 2.6751 5.52854 
2.31842 3.74514 3.21012 
6.15273 4.36933 2.94261 
3.83431 5.97439 5.79605 
2.58593 5.79605 4.72601 
5.26103 5.26103 6.15273 
5.3502 3.21012 2.49676 
3.47763 6.33107 5.08269 
3.74514 4.28016 1.96174 
3.47763 4.01265 2.05091 
3.5668 5.70688 2.49676 
5.43937 4.72601 2.22925 
6.2419 5.3502 3.38846 
5.3502 5.17186 2.31842 
6.50941 3.47763 3.83431 
2.40759 2.76427 4.01265 
4.99352 2.31842 5.52854 
2.31842 5.52854 3.5668 
4.19099 5.26103 6.50941 
6.33107 3.12095 3.65597 
5.08269 5.61771 2.40759 
2.05091 4.36933 5.26103 
2.76427 3.83431 6.15273 
3.83431 6.68775 4.36933 
3.83431 4.54767 1.87257 
5.17186 6.42024 3.38846 
5.70688 4.81518 6.2419 
2.85344 5.52854 5.88522 
4.28016 6.59858 3.38846 
6.33107 3.47763 5.43937 
3.47763 6.33107 5.43937 
3.83431 2.94261 6.33107 
3.65597 2.40759 2.76427 
6.15273 5.26103 5.61771 
3.65597 6.68775 4.54767 
3.92348 1.96174 5.17186 
3.12095 6.50941 4.19099 
5.26103 3.65597 2.05091 
4.63684 4.28016 6.77692 
4.90435 2.94261 6.33107 
3.47763 5.97439 2.58593 
4.36933 5.97439 2.40759 
4.01265 2.05091 3.12095 
4.10182 6.77692 4.81518 
5.3502 6.2419 3.03178 
3.38846 2.6751 6.06356 
3.74514 1.7834 4.10182 
3.38846 2.49676 5.88522 
1.87257 4.90435 4.90435 
2.58593 2.40759 3.83431 
5.70688 3.38846 6.2419 
5.17186 3.5668 1.96174 
3.5668 4.28016 6.77692 
4.19099 5.61771 6.50941 
4.36933 5.26103 6.68775 
6.86609 4.36933 4.01265 
5.26103 1.87257 4.19099 
2.58593 6.15273 3.65597 
