848485	(1,0)	(0.00707224,4.93055e-18)	(0.0176772,1.22462e-17)	(0.00106048,2.33787e-18)	0.00707224	0.00428221
868687	(1,0)	(0.00557117,4.68783e-19)	(0.0150114,-2.35445e-17)	(0.000956866,1.09867e-18)	0.00557117	0.00326636
888889	(1,0)	(0.00440009,5.22943e-19)	(0.0128148,-1.16867e-17)	(0.00082293,7.66951e-19)	0.00440009	0.00249501
909091	(1,0)	(0.00349193,-4.63242e-19)	(0.0110249,-1.23258e-18)	(0.000672337,7.43004e-19)	0.00349193	0.00191284
929293	(1,0)	(0.00280603,7.67572e-19)	(0.00963511,2.56357e-20)	(0.000523025,4.6912e-20)	0.00280603	0.00148328
949495	(1,0)	(0.00224282,-1.21308e-18)	(0.00840382,1.29269e-17)	(0.000378566,-8.80103e-19)	0.00224282	0.00114279
969697	(1,0)	(0.0017805,-5.31435e-19)	(0.0073058,9.25824e-18)	(0.000253204,-2.52944e-20)	0.0017805	0.000873517
989899	(1,0)	(0.00141362,-8.5934e-19)	(0.00637586,5.34216e-18)	(0.000156766,-4.8801e-19)	0.00141362	0.000667003
1.0101e+06	(1,0)	(0.0011012,2.65737e-19)	(0.00548246,-4.92663e-19)	(8.77677e-05,1.60877e-19)	0.0011012	0.000499163
1.0303e+06	(1,0)	(0.000841057,-2.78219e-19)	(0.00464383,8.26601e-18)	(4.4261e-05,-7.53059e-20)	0.000841057	0.000365859
1.05051e+06	(1,0)	(0.000639758,-6.88657e-19)	(0.00393738,-3.53032e-18)	(2.03719e-05,1.51688e-20)	0.000639758	0.000266781
1.07071e+06	(1,0)	(0.000478375,2.23512e-19)	(0.00329905,-5.67644e-18)	(8.43326e-06,2.11045e-20)	0.000478375	0.000191033
1.09091e+06	(1,0)	(0.000350852,2.13455e-19)	(0.00272586,-2.91731e-18)	(3.13805e-06,7.46287e-21)	0.000350852	0.000134037
1.11111e+06	(1,0)	(0.000256685,1.45764e-19)	(0.00225916,-1.6004e-18)	(1.07692e-06,-2.70072e-22)	0.000256685	9.37162e-05
1.13131e+06	(1,0)	(0.000185129,2.6948e-20)	(0.00185688,3.32037e-18)	(3.43534e-07,-6.69936e-22)	0.000185129	6.45292e-05
1.15152e+06	(1,0)	(0.000130772,7.89443e-20)	(0.00150479,8.18763e-19)	(1.04791e-07,-2.73215e-22)	0.000130772	4.34738e-05
1.17172e+06	(1,0)	(9.17737e-05,-8.25996e-21)	(0.00122054,1.4038e-18)	(3.2842e-08,2.31709e-24)	9.17737e-05	2.90681e-05
1.19192e+06	(1,0)	(6.31323e-05,6.05892e-20)	(0.000978309,-8.14497e-19)	(1.1347e-08,2.1571e-23)	6.31323e-05	1.90314e-05
1.21212e+06	(1,0)	(4.20756e-05,9.25185e-21)	(0.000766354,4.68002e-19)	(4.71436e-09,-1.60124e-23)	4.20756e-05	1.20591e-05
