(1,0)	(1,0)
(1,0)	(1,0)
(1,0)	(1,0)
(1,0)	(1,0)
(1,0)	(1,0)
(1,0)	(0.999999,0)
(1,0)	(0.999998,0)
(1,0)	(0.999996,0)
(1,0)	(0.999994,0)
(1,0)	(0.99999,0)
(1,0)	(0.999985,0)
(1,0)	(0.999977,0)
(1,0)	(0.999968,0)
(1,0)	(0.999956,0)
(1,0)	(0.999941,0)
(1,0)	(0.999922,0)
(1,0)	(0.999899,0)
(1,0)	(0.999871,0)
(1,0)	(0.999838,0)
(1,0)	(0.999799,0)
(1,0)	(0.999754,0)
(1,0)	(0.999701,0)
(1,0)	(0.999639,0)
(1,0)	(0.999569,0)
(1,0)	(0.999489,0)
(1,0)	(0.999399,0)
(1,0)	(0.999297,0)
(1,0)	(0.999182,0)
(1,0)	(0.999054,0)
(1,0)	(0.998912,0)
(1,0)	(0.998754,0)
(1,0)	(0.998579,0)
(1,0)	(0.998387,0)
(1,0)	(0.998176,0)
(1,0)	(0.997945,0)
(1,0)	(0.997692,0)
(1,0)	(0.997417,0)
(1,0)	(0.997119,0)
(1,0)	(0.996795,0)
(1,0)	(0.996445,0)
(1,0)	(0.996066,0)
(1,0)	(0.995659,0)
(1,0)	(0.995221,0)
(1,0)	(0.99475,0)
(1,0)	(0.994246,0)
(1,0)	(0.993707,0)
(1,0)	(0.993131,0)
(1,0)	(0.992516,0)
(1,0)	(0.991861,0)
(1,0)	(0.991165,0)
(1,0)	(0.990425,0)
(1,0)	(0.98964,0)
(1,0)	(0.988808,0)
(1,0)	(0.987928,0)
(1,0)	(0.986997,0)
(1,0)	(0.986014,0)
(1,0)	(0.984977,0)
(1,0)	(0.983884,0)
(1,0)	(0.982733,0)
(1,0)	(0.981523,0)
(1,0)	(0.980251,0)
(1,0)	(0.978916,0)
(1,0)	(0.977516,0)
(1,0)	(0.976048,0)
(1,0)	(0.974511,0)
(1,0)	(0.972904,0)
(1,0)	(0.971223,0)
(1,0)	(0.969467,0)
(1,0)	(0.967634,0)
(1,0)	(0.965722,0)
(1,0)	(0.963729,0)
(1,0)	(0.961654,0)
(1,0)	(0.959494,0)
(1,0)	(0.957247,0)
(1,0)	(0.954912,0)
(1,0)	(0.952486,0)
(1,0)	(0.949968,0)
(1,0)	(0.947355,0)
(1,0)	(0.944647,0)
(1,0)	(0.94184,0)
(1,0)	(0.938934,0)
(1,0)	(0.935927,0)
(1,0)	(0.932816,0)
(1,0)	(0.929601,0)
(1,0)	(0.926279,0)
(1,0)	(0.922849,0)
(1,0)	(0.919309,0)
(1,0)	(0.915658,0)
(1,0)	(0.911894,0)
(1,0)	(0.908017,0)
(1,0)	(0.904023,0)
(1,0)	(0.899914,0)
(1,0)	(0.895686,0)
(1,0)	(0.891339,0)
(1,0)	(0.886872,0)
(1,0)	(0.882284,0)
(1,0)	(0.877574,0)
(1,0)	(0.872741,0)
(1,0)	(0.867784,0)
(1,0)	(0.862703,0)
(1,0)	(0.857497,0)
