(1,0)	(1,0)
(1,0)	(1,0)
(1,0)	(1,0)
(1,0)	(0.999999,0)
(1,0)	(0.999998,0)
(1,0)	(0.999994,0)
(1,0)	(0.999988,0)
(1,0)	(0.999977,0)
(1,0)	(0.999961,0)
(1,0)	(0.999938,0)
(1,0)	(0.999905,0)
(1,0)	(0.999862,0)
(1,0)	(0.999804,0)
(1,0)	(0.99973,0)
(1,0)	(0.999637,0)
(1,0)	(0.999522,0)
(1,0)	(0.999381,0)
(1,0)	(0.999211,0)
(1,0)	(0.999009,0)
(1,0)	(0.99877,0)
(1,0)	(0.99849,0)
(1,0)	(0.998165,0)
(1,0)	(0.99779,0)
(1,0)	(0.997361,0)
(1,0)	(0.996872,0)
(1,0)	(0.996319,0)
(1,0)	(0.995696,0)
(1,0)	(0.994997,0)
(1,0)	(0.994216,0)
(1,0)	(0.993349,0)
(1,0)	(0.992388,0)
(1,0)	(0.991327,0)
(1,0)	(0.990159,0)
(1,0)	(0.988879,0)
(1,0)	(0.98748,0)
(1,0)	(0.985953,0)
(1,0)	(0.984294,0)
(1,0)	(0.982494,0)
(1,0)	(0.980546,0)
(1,0)	(0.978443,0)
(1,0)	(0.976177,0)
(1,0)	(0.973742,0)
(1,0)	(0.971129,0)
(1,0)	(0.968331,0)
(1,0)	(0.965341,0)
(1,0)	(0.962152,0)
(1,0)	(0.958755,0)
(1,0)	(0.955144,0)
(1,0)	(0.951311,0)
(1,0)	(0.947249,0)
(1,0)	(0.942951,0)
(1,0)	(0.93841,0)
(1,0)	(0.93362,0)
(1,0)	(0.928574,0)
(1,0)	(0.923266,0)
(1,0)	(0.917689,0)
(1,0)	(0.911839,0)
(1,0)	(0.90571,0)
(1,0)	(0.899297,0)
(1,0)	(0.892595,0)
(1,0)	(0.8856,0)
(1,0)	(0.878309,0)
(1,0)	(0.870718,0)
(1,0)	(0.862825,0)
(1,0)	(0.854627,0)
(1,0)	(0.846123,0)
(1,0)	(0.837313,0)
(1,0)	(0.828195,0)
(1,0)	(0.81877,0)
(1,0)	(0.809039,0)
(1,0)	(0.799004,0)
(1,0)	(0.788668,0)
(1,0)	(0.778033,0)
(1,0)	(0.767104,0)
(1,0)	(0.755885,0)
(1,0)	(0.744383,0)
(1,0)	(0.732603,0)
(1,0)	(0.720553,0)
(1,0)	(0.708241,0)
(1,0)	(0.695676,0)
(1,0)	(0.682868,0)
(1,0)	(0.669827,0)
(1,0)	(0.656564,0)
(1,0)	(0.643093,0)
(1,0)	(0.629425,0)
(1,0)	(0.615574,0)
(1,0)	(0.601556,0)
(1,0)	(0.587385,0)
(1,0)	(0.573077,0)
(1,0)	(0.558648,0)
(1,0)	(0.544116,0)
(1,0)	(0.529497,0)
(1,0)	(0.51481,0)
(1,0)	(0.500074,0)
(1,0)	(0.485306,0)
(1,0)	(0.470527,0)
(1,0)	(0.455755,0)
(1,0)	(0.441009,0)
(1,0)	(0.42631,0)
(1,0)	(0.411677,0)
(1,0)	(0.397128,0)
